Conv_ID,NPC_ID,Conv_Number,Conv_Type,texts,부모퀘스트,유형,,,,,
sc_00046,100,2,Quest,100$잘 생각했군. 시간이 그리 많지 않으니 빠르게 임무에 대해 설명해주겠네._998$임무요?_998$전 딱히 왕국의 소속도 아닌데요._100$왕국 내의 모든 던전을 탐험하는 모험가들은 반드시 인지해야할 임무라네._100$자네라고 그걸 무시할 수는 없어._998$(한숨)무슨 일인데요?_100$자네도 알겠지만 모험 중 몬스터에게 당해 사망하는 모험가들도 없지는 않지. 안그런가?_998$그렇긴 하죠._100$더구나 쉬운 던전 하나 없으니 사망자의 시신을 수습하는 것도 어렵고 말이지._998$(짜증나는 눈초리로 카인을 노려본다.)_100$....흠흠\a 그런데 최근에 한 던전에서 변칙성이 생겼네._998$심각한 정도인가요?_100$심각하지. 해당 던전에서 지나칠 정도로 많은 언데드의 몬스터들이 관측되었네._998$언데드 몬스터요? 자주 보이지는 않지만 없지는 않았는데요._100$그렇지. 하지만 해당 던전은 언데드 몬스터가 관측되지 않았던 던전이었네._100$더구나 다른 던전에서 수습되지 못한 시체나 유골들이 전부 사라졌다더군._100$이제 어느정도 심각성이 체감되나?_100$왕국에서는 해당 던전에서 발생하는 변칙의 원인을 발견하거나 처리한 모험가에게는 큰 보상을 주기로 했다네._100$모험가인 자네도 구미가 당기지 않나?_998$왕국 기사단이 나서서 그 문제를 처리할 수는 없나요?_100$타 국가와의 조약으로 왕국 기사단은 던전 내부로 진입할 수가 없네._100$이런 조약만 없었다면 암시장 놈들은 물론 자네들도 던전 내부에는 얼씬도 못했겠지._100$이상이네. 무언가 더 궁금한게 있다 하더라도 더 알려줄 수 있는건 없군.,100_001,Progress,,,,,
sc_00045,100,1,Quest,100$거기 모험가!_998$저 말인가요?_100$그럼 자네 말고 누구를 부르는 거겠나. 왕국에서 모험가들에게 임무가 부여되었네. 와서 받아가게.,100_001,Start,,,,,
sc_00079,101,3,Quest,101$어때\a 어때. 성공했나?_998$(빈 주머니를 센디움에게 보여준다.)_101$하하하하하하! 그렇지! 바로 그거야 친구!_101$자네 덕분에 밑작업이 아~주 수월해졌어! 정말 뭐라고 감사 인사를 건네야할 지 모르겠군. 하하하하하!_101$여기 자네 몫이야. 내가 자네를 잘못본 게 아니었어. 앞으로 자주 부탁한다고 친구! 하하하하!,100_002,Start,,,,,
sc_00068,101,2,Quest,101$최근에 이 인근에서 생겨난 던전에 말이야\a 언데드가 들끓기 시작했다더군._998$언데드? 다른 던전에서도 아예 안 나오는건 아닌데._998$그게 뭐가 특별한거지?_101$쯧쯔. 모험가란 양반이 이렇게 정보통에 어두워서야. 신속한 정보는 뒷골목의 쥐를 배부르게 하는 법이지_998$(알 수없는 눈초리로 센디움을 바라본다.)_101$아아\a 알겠어 알았다고. 알려줄게. 그냥 언데드가 나오는거면 자네에게 이렇게 말하고 있겠나._101$무려 언데드로 가득찬 던전이라구._998$언데드로 가득하다고? 그런 던전은 없던거로 기억하는데._101$내 말이 그 말이지. 신기하지 않나?_998$신기하고 자시고…_101$그래서 너에게 부탁 하나가 있어. 이걸 받아._998$(센디움이 건넨 물건을 받는다.)_998$이건…?_101$보다시피\a 왕국 기사단의 증표지. 꽤나 잘 만들었지?_101$이제 이걸 들고 변칙이 일어난 던전을 한바퀴 가볍게 돌아줘._101$이왕이면 깊숙한 곳까지 뿌려주면 더욱 좋고._998$목적이 무엇인지 묻는다._101$당연히 속 시커먼 기사단 놈들에게 한방 먹이기 위해서지!_101$너희같은 귀한 인적자원을 무시하질 않나\a 우리에게 들어오는 물건을 어떻게든 줄일려고 별 같잖은 수작을 부리지 않나._101$네 입장에서도 그 녀석들은 꼴보기 싫잖아?_998$(어느정도 수긍하는 듯 고개를 끄덕인다.)_101$이해관계가 일치하는군. 그럼 수고해줘.,100_002,Progress,,,,,
sc_00067,101,1,Quest,101$빌어먹을… 넌 또 뭘 봐!_101$뭐야\a 너였냐?_101$무슨 일 있냐고? 아무것도 아니야. 오늘은 영 장사할 기분이 안드는군._101$이봐\a 형씨! 재미난 일에 돈까지 만질 수 있는 일이 있는데\a 들어보겠어?,100_002,End,,,,,
sc_00091,110,1,Quest,110$뭐야. 물건을 사려고 부른게 아니었어?_998$(안토니움에게서 받은 자루를 건넨다.)_110$아휴… 그 영감탱이. 귀찮은 일만 시키는군._110$(Player로부터 자루를 받아들고\a 자리를 떠난다.)_110$대충 처리해 줄테니까 나중에 줄 보수나 준비해두라고 전해줘.,100_003,Start,,,,,
sc_00094,102,3,Quest,102$무사히 도착했다니 기쁘군._998$(수수께끼의 상인의 정체에 대해 묻는다.)_102$말했지 않나. 11월의 차가운 서리와 5월의 여명빛을 두른…_998$(전달해 준 물건이 무엇인지 묻는다.)_102$음… 간단하게 설명하자면 해당 던전에서 생겨난 과한 변수를 억제할 수 있는 기능을 가진 물건이네._102$아무래도 누군가 던전에 들어가 흐름을 흐트러뜨린게지._102$그자가 던전을 돌아다니면 자연스레 이 현상도 멎어들걸세._102$그래도 감히 어지러운 혼란 속을 다녀올 정도의 용기를 내 감히 이용만 할 수는 없지 않은가._102$내 작은 성의와 어지러운 혼란속을 잠재워준 던전이 그대에게 고마움을 표시하는 작은 선물이네._102$거절하지 않고 받아준다면 더할 나위없이 기쁘겠네.,100_003,End,,,,,
sc_00085,102,2,Quest,102$오오\a 마침 필요한 젊은 인재가 나에게 오는군._998$무슨 일 이시죠?_102$자\a 일단 이걸 받아주게._998$(안토니움에게서 무언가 가득 든 작은 자루를 받는다.)_102$지금 문제가 생긴 던전\a 자네도 알고는 있겠지? 다녀와 보았나?_998$(고개를 끄덕인다.)_102$역시 별빛이 가리키는 그대가 나에게 왔군. 이 자루를 문제가 생긴 던전 안에 있는 던전 상인에게 전달해주게._998$하지만 그 곳은 위험해서 던전 상인은 발을 못 들일텐데요?_102$11월의 차가운 서리와 5월의 여명빛을 두른 자이자\a 서슬퍼런 죽음에서 섭리의 이치를 벗어난 자이니 걱정하지 않아도 된다네._998$......?_102$무슨 생각을 하는 지 잘 알고 있네만\a 이 어지러운 별들의 질서를 맞추려면 자네의 도움이 필요하다네.,100_003,Start,,,,,
sc_00084,102,1,Quest,102$자네 혹시 내 부탁좀 들어줄 수 있는가?,100_003,End,,,,,
sc_00100,104,2,Quest,104$이번에 모험가들에게서 구매한 물건 일부가 사라졌단 말이야._104$내가 빼돌렸냐고? 나참\a 그런 가치도 모르는 것들을 빼돌려서 뭐하게._104$아무튼\a 나를 좀 도와줬으면 좋겠어. '알 수 없는 물건' 10개 정도만 나한테서 구해다줘. 부탁할게!_104$이 일은 카인 단장님께서 절대 아시면 안 돼. 무조건 나한테 가져와 줘야해. 알겠지?,101_001,Start,,,,,
sc_00099,104,1,Quest,104$아\a 거기! 거기 모험가! 잠깐만 기다려봐!_104$이크\a 너무 큰 소리로 말했나. 아무튼 날 좀 도와줬으면 좋겠어.,101_001,Progress,,,,,
sc_00103,100,4,Quest,100$자네인가? 라벨 루니스로부터 부탁을 받은 모험가가._100$그에게로부터 사건에 대한 전말은 대충 들었네._100$누구인지는 모르나\a 왕국의 재산이 사라지게 내버려두었으니 그에게는 징계가 내려질걸세. 그를 변호할 생각이 있는건 아니겠지?_100$그것과는 별개로\a 왕국의 손실된 재산을 메꾸기 위해 흔쾌히 부탁을 수락해 준 것에 대해서는 감사인사를 표하지._100$자네가 가져온 물건에 준하는 골드를 지급해 주겠네.,101_001,End,,,,,
sc_00112,114,1,Quest,998$암시장 상인들의 물건이 담긴 자루다._998$앞에 놓인 자루를 들고 있는 자루와 교체했다._101$이봐! 지금 뭐하는거야!!_998$(앞에서 있었던 일을 자초지종 설명한다.)_101$그러니까\a 그 빌어먹을 녀석들 물건들을 우리가 훔쳐갔으니 이런 일을 너에게 시켰다고?_101$네 말을 아주 믿을게 되진 않지만… 그 녀석이라면 충분히 그런 짓을 벌일 만도 하군.,101_002,Start,,,,,
sc_00107,100,6,Quest,100$자\a 이 자루를 받게._998$(안의 내용물이 무엇인지 묻는다.)_100$왕국 연금술사들이 감정해서 나온 잔여물들이지._100$이걸 들고 암시장으로 가면 녀석들이 모험가들에게서 구매한 물건이 담긴 자루들이 가득 있을 걸세._100$그것들 중 하나를 이것과 바꿔치기 해오게나._100$다만 이건 알아두게. 자네가 그들에게 발각되면 우리와는 아무런 연관도 없는 것이네. 알겠나?_998$(이 짓을 하는 이유를 묻는다.)_100$주변 시민에게서 들어본 결과\a 암시장 쪽 사람이 이 부근에서 어슬렁대는걸 목격했다고 하는군_100$우리 물건이 없어진건 아마 그 자가 벌인 짓이겠지._100$이유는 들어봤으니 됐나? 성공하기를 기원하지.,101_002,End,,,,,
sc_00106,100,5,Quest,100$자네에게 줄 임무가 하나 있네. 잠시 거기서 기다리게나.,101_002,Normal,,,,,
sc_00151,114,1,Normal,998$수상한 물품을 가득 담은 허름한 자루이다.,101_003,Normal,,,,,
sc_00114,114,3,Quest,100$잘 다녀온 것 같군. 들키지 않았겠지?_998$(들키지 않았다고 하며 자루를 건낸다.)_100$흠. 묵직한 자루로 잘 가져왔군._100$기사단을 위해 일해주어서 고맙네. 이걸로 더러운 녀석들에게 들어가는 물건의 질이 높아지지 않아서 다행이군._100$앞으로도 우릴 위해서 일해주면 고맙겠어 모험가.,101_003,Normal,,,,,
sc_00113,114,2,Quest,998$(혹시 왕국의 물건에 손을 댔냐고 묻는다.)_101$글쎄…. 일단 적어도 난 아니야. 하지만 다른 녀석들이라면 모르지._101$그렇다고 도둑질을 뜯어말리고 싶지도 않고 말이야._101$그 녀석들의 손해가 커지면 우리야 좋지. 우리에게 손해만 없으면 말이야…._101$그런데 이런 더러운 짓으로 자신들의 손해를 메꾸려고 했겠다?_101$내가 그 꼴은 못보지._101$자. 이걸 가져가._101$어차피 정신 없어서 아무거나 막 집어왔다고 하면 멍청한 녀석들 머리로 너를 의심하진 않겠지._998$(나를 믿냐고 물어본다.)_101$글쎄? 당장 네가 하는 말이 이 위기를 벗어나기 위한 거짓말이라고 해도 난 상관없어._101$왜냐하면 나는 손해본 일이 하나도 없으니까. 하하하하!!_101$그럼 수고해 달라고. 멍청한 녀석들에게 그 돌덩어리나 잘 전달해줘.,101_003,Normal,,,,,
sc_00128,107,2,Quest,998$(그게 부탁하는 태도냐고 묻는다.)_107$뭐라고?! 체! 어차피 네놈도 센디움의 졸개겠지?_998$(어이가 없는 듯이 키드를 쳐다본다.)_998$(상대적인 열등감을 표출하고 있어 대화가 어렵다. 잠시 후에 말을 걸어보자.),102_001,Normal,,,,,
sc_00125,107,1,Quest,107$쉿. 이봐._998$(어디서 소리가 나는지 두리번 거린다.)_107$바로 앞에 있잖아 이 멍청아! 어디 이상한데를 쳐다보고 있는거야?_998$(소리가 나는 곳으로 고개를 돌릴까?)_107$너도 내가 키가 작다고 무시하는거냐?_998$(쓸데 없이 분해하는 키드를 그냥 내려다본다.)_107$눈 깔아!!!_998$(한숨을 내쉬며 무슨 일이냐고 묻는다.)_107$뭐? 아\a 그래 그래. 부탁할 일이 하나있어. 들어주면 좋겠는데 말이야.,102_001,Normal,,,,,
sc_00138,107,5,Quest ,107$자! 어땠어? 성능 하나는 확실했지?_998$(오히려 코인을 배로 지불했다며 화를 낸다.)_107$뭐\a 뭐라고? 코인을… 2배로 썼다고?_998$(잃은 코인에 대해 어떻게 변상할 것이냐고 화를 낸다.)_107$아\a 아니\a 난 이 물건이 확실히 코인을 사용하지 않는다고…._998$(얼마 남지 않은 코인이 든 주머니를 키드 앞에 보여준다.)_107$어\a 얼마나 잃었는데….?_998$(던전에서 사용한 코인의 개수의 2배 만큼 말한다.)_107$젠장… 젠장….!_107$자! 여기 있어._998$(울상이 된 키드에게서 코인이 든 주머니를 낚아채고 키드의 물건을 돌려준다.)_107$젠장… 빌어먹을…. 이게 뭐냐고….,102_002,Normal,,,,,
sc_00131,107,4,Quest,107$이번에 내가 너희들은 상상도 하지 못할 경로로 얻은 귀한 물건이 있어. 바로 카드 뒤집개지._107$이 물건만 있다면 던전 카드를 코인을 쓰지 않고도 뒤집을 수 있다고. 굉장하지?_998$(건성으로 반응한다.)_107$헹! 네까짓게 뭘 알기나 하겠냐만은._107$그런데 아직 이 물건을 사용해보지 않아서 말이야. 확인을 해봐야 하거든._107$내가 던전에 들어가면 왕국 기사단에 걸려서 암시장 전체에 큰 타격을 입겠지?_107$그러니 네가 좀 이걸 써서 던전을 돌아주면 고맙겠어._107$겸사겸사 그 던전에서 나오는 물건들도 내게 가져다주면 고맙겠고._998$(보수를 묻는다.)_107$보수? 뭐… 물건 값좀 더 쳐주지. 5% 정도 더 말이야._998$(키드를 무섭게 노려본다.)_107$뭐\a 뭐야! 그런 눈으로 날 내려다본다고 내가 무\a 무서워 할 줄 알고?_998$(계속 노려본다.)_107$아\a 알았어! 성능만 제대로 알아봐 준다면 센디움에게 말해서 보수라도 얻어놔 볼게! 대신 잘 알아봐 줘야 해!,102_002,Normal,,,,,
sc_00130,107,3,Quest,107$그래\a 그래서… 어디까지 말했지?_998$(부탁할 일이 뭐냐고 묻는다.)_107$아아 그래\a 너에게 부탁할게 있거든. 들어줄꺼지?,102_002,Normal,,,,,
sc_00150,107,7,Quest,102$낄낄낄. 덕분에 키드 녀석의 저런 표정도 볼 수 있을줄이야\a 모험가 양반._998$(키드의 물건에 대해서 알고 있었냐고 물어본다.)_102$글쎄? 난 모르는 일이야._998$(키드가 말했던 보상에 대해 묻는다.)_102$아아\a 그거 말이지. 사실 말이야 별거 없어. 기껏해야 알 수없는 물건이지._998$(어처구니가 없는 표정을 짓는다.)_102$아아 그런 표정 짓지마. 저런 녀석에게서 무언가를 바란 네 잘못이지._102$그래도 모험가 하나하나가 소중한 마당에 너처럼 유능한 고객을 잃을 수는 없지._102$이것 좀 가져가라고. 우리에게도 쓸만한 물건이지만\a 이런 물건은 모험가가 쓰는게 더 낫겠지. 그럼 수고하라고.,102_003,Normal,,,,,
sc_00139,107,6,Quest ,998$(센디움이 날 부르는 소리가 들린다.),102_003,Normal,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
